episode,reward
0,359
1,331
2,337
3,360
4,340
5,324
6,350
7,360
8,346
9,117
10,347
11,180
12,303
13,359
14,294
15,314
16,358
17,362
18,355
19,359
20,128
21,299
22,359
23,251
24,355
25,294
26,353
27,184
28,186
29,324
30,150
31,180
32,364
33,334
34,287
35,357
36,179
37,207
38,345
39,347
40,369
41,342
42,355
43,370
44,261
45,193
46,370
47,358
48,341
49,190
50,364
51,359
52,314
53,286
54,297
55,180
56,305
57,364
58,349
59,364
60,358
61,348
62,324
63,185
64,300
65,192
66,353
67,361
68,294
69,184
70,277
71,352
72,358
73,229
74,171
75,367
76,182
77,325
78,304
79,190
80,361
81,357
82,188
83,353
84,325
85,347
86,343
87,367
88,331
89,362
90,366
91,360
92,295
93,279
94,120
95,330
96,351
97,295
98,272
99,184
100,358
101,366
102,352
103,319
104,300
105,355
106,155
107,332
108,368
109,152
110,353
111,296
112,359
113,376
114,362
115,362
116,348
117,307
118,190
119,324
120,343
121,236
122,349
123,184
124,221
125,366
126,370
127,302
128,353
129,317
130,370
131,367
132,131
133,286
134,357
135,289
136,188
137,179
138,361
139,175
140,371
141,354
142,147
143,384
144,387
145,184
146,371
147,360
148,384
149,325
150,302
151,258
152,388
153,389
154,306
155,358
156,375
157,389
158,342
159,245
160,385
161,208
162,394
163,398
164,392
165,188
166,340
167,358
168,382
169,299
170,318
171,390
172,390
173,371
174,368
175,211
176,337
177,173
178,398
179,274
180,392
181,377
182,324
183,379
184,392
185,391
186,355
187,389
188,367
189,346
190,379
191,381
192,307
193,309
194,239
195,380
196,390
197,377
198,309
199,395
200,156
201,347
202,375
203,306
204,356
205,379
206,397
207,278
208,214
209,367
210,370
211,227
212,363
213,254
214,351
215,316
216,374
217,381
218,393
219,300
220,357
221,281
222,374
223,362
224,396
225,385
226,396
227,286
228,383
229,377
230,258
231,352
232,385
233,333
234,390
235,378
236,387
237,288
238,383
239,385
240,385
241,389
242,335
243,388
244,387
245,369
246,212
247,383
248,375
249,390
250,317
251,371
252,336
253,378
254,282
255,386
256,289
257,294
258,175
259,389
260,340
261,392
262,382
263,377
264,339
265,385
266,150
267,367
268,319
269,392
270,382
271,373
272,406
273,303
274,385
275,392
276,376
277,330
278,392
279,386
280,239
281,273
282,383
283,328
284,371
285,390
286,357
287,393
288,321
289,374
290,377
291,394
292,398
293,400
294,381
295,371
296,383
297,392
298,398
299,381
300,353
301,275
302,399
303,370
304,365
305,368
306,383
307,356
308,382
309,407
310,440
311,405
312,429
313,417
314,439
315,440
316,446
317,452
318,425
319,401
320,423
321,446
322,442
323,423
324,436
325,420
326,438
327,406
328,436
329,439
330,420
331,448
332,438
333,450
334,403
335,379
336,403
337,449
338,415
339,446
340,401
341,427
342,324
343,378
344,436
345,442
346,420
347,418
348,406
349,438
350,418
351,420
352,418
353,423
354,444
355,419
356,435
357,386
358,437
359,442
360,434
361,435
362,443
363,356
364,385
365,438
366,421
367,436
368,420
369,419
370,436
371,429
372,446
373,393
374,442
375,444
376,409
377,437
378,413
379,429
380,399
